Chain,Address,Label
Mainnet,0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3Factory
 Polygon,0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3Factory
 Optimism,0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3Factory
 Arbitrum,0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3Factory
 Testnets ,0x1F98431c8aD98523631AE4a59f267346ea31F984,UniswapV3Factory
Celo,<td><code>0xAfE208a311B21f13EF87E33A90049fC17A7acDEc</code></td>,UniswapV3Factory
Mainnet,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2
 Polygon,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2
 Optimism,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2
 Arbitrum,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2
 Testnets ,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2
Celo,<td><code>0x633987602DE5C4F337e3DbF265303A1080324204</code></td>,Multicall2
Mainnet,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2,ProxyAdmin
 Polygon,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2,ProxyAdmin
 Optimism,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2,ProxyAdmin
 Arbitrum,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2,ProxyAdmin
 Testnets ,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2,ProxyAdmin
Celo,<td><code>0xc1b262Dd7643D4B7cA9e51631bBd900a564BF49A</code></td>,ProxyAdmin
Mainnet,0xbfd8137f7d1516D3ea5cA83523914859ec47F573,TickLens
 Polygon,0xbfd8137f7d1516D3ea5cA83523914859ec47F573,TickLens
 Optimism,0xbfd8137f7d1516D3ea5cA83523914859ec47F573,TickLens
 Arbitrum,0xbfd8137f7d1516D3ea5cA83523914859ec47F573,TickLens
 Testnets ,0xbfd8137f7d1516D3ea5cA83523914859ec47F573,TickLens
Celo,<td><code>0x5f115D9113F88e0a0Db1b5033D90D4a9690AcD3D</code></td>,TickLens
Mainnet,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6,Quoter
 Polygon,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6,Quoter
 Optimism,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6,Quoter
 Arbitrum,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6,Quoter
 Testnets ,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6,Quoter
Celo,<td><code>0x82825d0554fA07f7FC52Ab63c961F330fdEFa8E8</code></td>,Quoter
Mainnet,0xE592427A0AEce92De3Edee1F18E0157C05861564,SwapRouter
 Polygon,0xE592427A0AEce92De3Edee1F18E0157C05861564,SwapRouter
 Optimism,0xE592427A0AEce92De3Edee1F18E0157C05861564,SwapRouter
 Arbitrum,0xE592427A0AEce92De3Edee1F18E0157C05861564,SwapRouter
 Testnets ,0xE592427A0AEce92De3Edee1F18E0157C05861564,SwapRouter
Celo,<td><code>0x5615CDAb10dc425a742d643d949a7F474C01abc4</code></td>,SwapRouter
Mainnet,0x42B24A95702b9986e82d421cC3568932790A48Ec,NFTDescriptor
 Polygon,0x42B24A95702b9986e82d421cC3568932790A48Ec,NFTDescriptor
 Optimism,0x42B24A95702b9986e82d421cC3568932790A48Ec,NFTDescriptor
 Arbitrum,0x42B24A95702b9986e82d421cC3568932790A48Ec,NFTDescriptor
 Testnets ,0x42B24A95702b9986e82d421cC3568932790A48Ec,NFTDescriptor
Celo,<td><code>0xa9Fd765d85938D278cb0b108DbE4BF7186831186</code></td>,NFTDescriptor
Mainnet,0x91ae842A5Ffd8d12023116943e72A606179294f3,NonfungibleTokenPositionDescriptor
 Polygon,0x91ae842A5Ffd8d12023116943e72A606179294f3,NonfungibleTokenPositionDescriptor
 Optimism,0x91ae842A5Ffd8d12023116943e72A606179294f3,NonfungibleTokenPositionDescriptor
 Arbitrum,0x91ae842A5Ffd8d12023116943e72A606179294f3,NonfungibleTokenPositionDescriptor
 Testnets ,0x91ae842A5Ffd8d12023116943e72A606179294f3,NonfungibleTokenPositionDescriptor
Celo,<td><code>0x644023b316bB65175C347DE903B60a756F6dd554</code></td>,NonfungibleTokenPositionDescriptor
Mainnet,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785,TransparentUpgradeableProxy
 Polygon,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785,TransparentUpgradeableProxy
 Optimism,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785,TransparentUpgradeableProxy
 Arbitrum,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785,TransparentUpgradeableProxy
 Testnets ,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785,TransparentUpgradeableProxy
Celo,<td><code>0x505B43c452AA4443e0a6B84bb37771494633Fde9</code></td>,TransparentUpgradeableProxy
Mainnet,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,NonfungiblePositionManager
 Polygon,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,NonfungiblePositionManager
 Optimism,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,NonfungiblePositionManager
 Arbitrum,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,NonfungiblePositionManager
 Testnets ,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,NonfungiblePositionManager
Celo,<td><code>0x3d79EdAaBC0EaB6F08ED885C05Fc0B014290D95A</code></td>,NonfungiblePositionManager
Mainnet,0xA5644E29708357803b5A882D272c41cC0dF92B34,V3Migrator
 Polygon,0xA5644E29708357803b5A882D272c41cC0dF92B34,V3Migrator
 Optimism,0xA5644E29708357803b5A882D272c41cC0dF92B34,V3Migrator
 Arbitrum,0xA5644E29708357803b5A882D272c41cC0dF92B34,V3Migrator
 Testnets ,0xA5644E29708357803b5A882D272c41cC0dF92B34,V3Migrator
Celo,<td><code>0x3cFd4d48EDfDCC53D3f173F596f621064614C582</code></td>,V3Migrator
